arm,seed,epoch,module,module_type,num_experts,top_k,gini,entropy_nats,entropy_normalized,top1_share,dominant_expert,aux_loss,aux_loss_finite,mixture_aux_loss,epoch_seconds
baseline,1,3,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8493762016296387,True,3.0,0.9793
baseline,1,3,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.687748432159424,True,3.0,0.9793
baseline,1,3,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.17152214050293,True,3.0,0.9793
baseline,1,4,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8305795192718506,True,3.0,1.046
baseline,1,4,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.686092376708984,True,3.0,1.046
baseline,1,4,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.179400444030762,True,3.0,1.046
baseline,1,5,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8424315452575684,True,3.0,1.0253
baseline,1,5,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.692387580871582,True,3.0,1.0253
baseline,1,5,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.17578411102295,True,3.0,1.0253
baseline,1,6,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.860138416290283,True,3.0,1.0532
baseline,1,6,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.717125415802002,True,3.0,1.0532
baseline,1,6,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.192237854003906,True,3.0,1.0532
baseline,1,7,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8596341609954834,True,3.0,1.0193
baseline,1,7,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.697054862976074,True,3.0,1.0193
baseline,1,7,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.207120895385742,True,3.0,1.0193
baseline,1,8,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8479650020599365,True,2.923696517944336,1.0429
baseline,1,8,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.7254509925842285,True,2.923696517944336,1.0429
baseline,1,8,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.18599796295166,True,2.923696517944336,1.0429
baseline,1,9,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.8482272624969482,True,2.724827289581299,1.0675
baseline,1,9,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.710358142852783,True,2.724827289581299,1.0675
baseline,1,9,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.251729011535645,True,2.724827289581299,1.0675
baseline,1,10,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.855299949645996,True,2.5570785999298096,1.0753
baseline,1,10,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.737485408782959,True,2.5570785999298096,1.0753
baseline,1,10,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.259390830993652,True,2.5570785999298096,1.0753
baseline,1,11,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.842214822769165,True,2.4085726737976074,1.0858
baseline,1,11,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.732303619384766,True,2.4085726737976074,1.0858
baseline,1,11,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.271012306213379,True,2.4085726737976074,1.0858
intervention,1,2,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,5.941128730773926,True,3.0,2.9912
intervention,1,2,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,9.130533218383789,True,3.0,2.9912
intervention,1,2,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,13.247347831726074,True,3.0,2.9912
intervention,1,3,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,5.9781975746154785,True,2.999999761581421,3.0305
intervention,1,3,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,9.102834701538086,True,2.999999761581421,3.0305
intervention,1,3,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,13.29334831237793,True,2.999999761581421,3.0305
intervention,1,4,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,5.950628280639648,True,3.0,3.1568
intervention,1,4,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,9.132094383239746,True,3.0,3.1568
intervention,1,4,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,13.342424392700195,True,3.0,3.1568
intervention,1,5,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,5.9438581466674805,True,3.0,3.0434
intervention,1,5,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,9.161667823791504,True,3.0,3.0434
intervention,1,5,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,13.339396476745605,True,3.0,3.0434
